"cohort","n_persons","n_events","incidence_start_date","person_days","ir_100000_pys","sex","age_group","database","ir_100000_pys_95CI_lower","ir_100000_pys_95CI_upper"
"COVID-19 infection",963,379,2020-11-01,264405,52319.3585597852,"Male",">=80","SIDIAP",47183.9684689369,57861.1931656731
"COVID-19 infection",6285,2148,2020-11-01,1840634,42595.1058168001,"Female","35-49","SIDIAP",40812.641816459,44435.3822774915
"COVID-19 infection",5412,1194,2020-11-01,1733267,25143.8468510622,"Male","35-49","SIDIAP",23737.7051873285,26611.5330110514
"COVID-19 infection",4920,1736,2020-11-01,1430787,44286.1166616694,"Female","50-64","SIDIAP",42227.1359054004,46419.5306823383
"COVID-19 infection",4515,1147,2020-11-01,1411446,29661.4252334131,"Male","50-64","SIDIAP",27969.4911505276,31428.9518041912
"COVID-19 infection",2359,907,2020-11-01,683875,48408.7004203985,"Female","65-79","SIDIAP",45309.1367989106,51664.4680321147
"COVID-19 infection",2070,621,2020-11-01,624197,36313.0550130808,"Male","65-79","SIDIAP",33512.7916960734,39284.8494155843
"COVID-19 infection",4713,1639,2020-12-01,1362487,43907.5748979623,"Female","<=34","SIDIAP",41807.3801983527,46085.9522894784
"COVID-19 infection",3856,837,2020-12-01,1227118,24896.1387576419,"Male","<=34","SIDIAP",23237.8657706915,26641.5044480457
"COVID-19 infection",1925,789,2020-12-01,523350,55027.2284322155,"Female",">=80","SIDIAP",51254.0955361664,59004.6411715218
"COVID-19 infection",854,333,2020-12-01,239123,50829.489425944,"Male",">=80","SIDIAP",45516.1072365481,56592.7895462394
"COVID-19 infection",5444,1807,2020-12-01,1603240,41138.8812654375,"Female","35-49","SIDIAP",39263.7359676555,43080.4425667655
"COVID-19 infection",4687,1011,2020-12-01,1501298,24579.7303400124,"Male","35-49","SIDIAP",23087.758262134,26142.8145994755
"COVID-19 infection",4455,1608,2020-12-01,1285680,45650.5506813515,"Female","50-64","SIDIAP",43446.29586975,47937.6651552666
"COVID-19 infection",4010,1070,2020-12-01,1236694,31580.1645354469,"Male","50-64","SIDIAP",29716.0567406582,33530.5756805435
"COVID-19 infection",2347,942,2020-12-01,657955,52257.3732246126,"Female","65-79","SIDIAP",48973.115529898,55703.955259356
"COVID-19 infection",2147,676,2020-12-01,641455,38465.6756904226,"Male","65-79","SIDIAP",35620.2754990217,41477.901501233
"COVID-19 infection",8105,2648,2021-01-01,2363279,40897.4141436538,"Female","<=34","SIDIAP",39354.3897363032,42485.4333886723
"COVID-19 infection",6929,1429,2021-01-01,2211924,23580.6022268396,"Male","<=34","SIDIAP",22373.6992065526,24835.6919880798
"COVID-19 infection",2960,1218,2021-01-01,803058,55359.6377845685,"Female",">=80","SIDIAP",52293.9299451244,58558.1662583063
"COVID-19 infection",1478,601,2021-01-01,398545,55041.4633228368,"Male",">=80","SIDIAP",50728.3505200355,59623.2850633024
"COVID-19 infection",9515,3115,2021-01-01,2780991,40883.8072471288,"Female","35-49","SIDIAP",39460.5564541003,42345.275421992
"COVID-19 infection",7929,1683,2021-01-01,2541465,24170.9014289003,"Male","35-49","SIDIAP",23029.7848492332,25353.9273131735
"COVID-19 infection",8389,2836,2021-01-01,2456601,42137.082904387,"Female","50-64","SIDIAP",40600.3902101158,43717.0516766559
"COVID-19 infection",7314,1700,2021-01-01,2305402,26915.0456189419,"Male","50-64","SIDIAP",25650.6701505268,28225.6198632154
"COVID-19 infection",4127,1514,2021-01-01,1190213,46429.5046348847,"Female","65-79","SIDIAP",44119.959653204,48828.577952285
"COVID-19 infection",3583,1109,2021-01-01,1066159,37966.6635089138,"Male","65-79","SIDIAP",35764.7412692251,40268.675341425
"COVID-19 infection",3576,1146,2021-02-01,1037524,40316.1758185835,"Female","<=34","SIDIAP",38015.489732426,42719.6983485342
"COVID-19 infection",3003,609,2021-02-01,951894,23351.8648084766,"Male","<=34","SIDIAP",21533.7999013033,25282.4244760723
"COVID-19 infection",1039,439,2021-02-01,279824,57262.7794613757,"Female",">=80","SIDIAP",52030.7869411647,62878.36091487
"COVID-19 infection",561,216,2021-02-01,153432,51384.3266072267,"Male",">=80","SIDIAP",44759.8055061137,58713.0737755818
"COVID-19 infection",4449,1385,2021-02-01,1308490,38634.2272390313,"Female","35-49","SIDIAP",36626.0981642522,40723.8240315243
"COVID-19 infection",3877,758,2021-02-01,1242927,22259.5534572827,"Male","35-49","SIDIAP",20702.9109016628,23902.2302027263
"COVID-19 infection",3414,1105,2021-02-01,995521,40513.9620359591,"Female","50-64","SIDIAP",38160.1205198172,42974.9969604774
"COVID-19 infection",3487,788,2021-02-01,1101399,26114.060390467,"Male","50-64","SIDIAP",24322.3435488423,28002.8453365248
"COVID-19 infection",1719,627,2021-02-01,492916,46428.803284941,"Female","65-79","SIDIAP",42865.2982356077,50209.5124749342
"COVID-19 infection",1470,463,2021-02-01,436910,38679.5907623996,"Male","65-79","SIDIAP",35236.1567688225,42368.5997282235
"COVID-19 infection",2950,872,2021-03-01,856561,37157.8906814576,"Female","<=34","SIDIAP",34732.2243259816,39708.2973629489
"COVID-19 infection",2867,554,2021-03-01,911948,22173.4133963779,"Male","<=34","SIDIAP",20365.2099586155,24099.1162877073
"COVID-19 infection",749,354,2021-03-01,194893,66297.9173187339,"Female",">=80","SIDIAP",59570.6581175206,73576.9024455114
"COVID-19 infection",485,199,2021-03-01,128831,56380.0638045191,"Male",">=80","SIDIAP",48818.4153220393,64781.1949464069
"COVID-19 infection",3834,1189,2021-03-01,1113532,38973.7340282991,"Female","35-49","SIDIAP",36789.6590049809,41253.607916761
"COVID-19 infection",3518,728,2021-03-01,1110691,23923.8456060236,"Male","35-49","SIDIAP",22217.3232321125,25726.6690182221
"COVID-19 infection",3138,1016,2021-03-01,920853,40271.3571004275,"Female","50-64","SIDIAP",37832.8431563591,42825.8049897554
"COVID-19 infection",3125,722,2021-03-01,976508,26986.9780892732,"Male","50-64","SIDIAP",25054.1240342747,29029.3715950146
"COVID-19 infection",1590,622,2021-03-01,446324,50866.6350005825,"Female","65-79","SIDIAP",46947.1707728538,55025.9878912901
"COVID-19 infection",1377,425,2021-03-01,408946,37932.8811138879,"Male","65-79","SIDIAP",34411.7848357925,41716.5178615004
"COVID-19 infection",3722,996,2021-04-01,1049122,34651.8326753228,"Female","<=34","SIDIAP",32532.9615088314,36872.4766040321
"COVID-19 infection",3549,637,2021-04-01,1069840,21732.6890002243,"Male","<=34","SIDIAP",20077.5453295492,23487.8953585014
"COVID-19 infection",621,259,2021-04-01,156551,60386.0722703783,"Female",">=80","SIDIAP",53255.1374111878,68205.8831027236
"COVID-19 infection",398,150,2021-04-01,104476,52404.3799532907,"Male",">=80","SIDIAP",44353.7259999192,61493.8030431669
"COVID-19 infection",4397,1315,2021-04-01,1223365,39233.9980300237,"Female","35-49","SIDIAP",37141.8498085505,41413.3024200539
"COVID-19 infection",4080,742,2021-04-01,1234593,21936.7840251808,"Male","35-49","SIDIAP",20386.5625316091,23573.6317927291
"COVID-19 infection",3446,984,2021-04-01,983617,36514.212340779,"Female","50-64","SIDIAP",34268.1020449962,38868.8783166629
"COVID-19 infection",3521,784,2021-04-01,1052901,27178.2437285177,"Male","50-64","SIDIAP",25308.8455795411,29149.184319194
"COVID-19 infection",1787,643,2021-04-01,494296,47480.6593620017,"Female","65-79","SIDIAP",43881.1492572599,51296.729510144
"COVID-19 infection",1650,497,2021-04-01,467655,38790.3475852926,"Male","65-79","SIDIAP",35454.5549953927,42355.4459278638
"COVID-19 infection",2021,508,2021-05-01,529636,35008.9495427048,"Female","<=34","SIDIAP",32030.3839353306,38189.9538757647
"COVID-19 infection",1847,294,2021-05-01,519026,20675.2648229568,"Male","<=34","SIDIAP",18379.2242267102,23178.8285442721
"COVID-19 infection",182,68,2021-05-01,44671,55561.7738577601,"Female",">=80","SIDIAP",43145.8753673869,70437.7876883521
"COVID-19 infection",132,50,2021-05-01,32277,56541.8099575549,"Male",">=80","SIDIAP",41966.4203404143,74543.3236409333
"COVID-19 infection",2444,615,2021-05-01,640574,35042.7897479448,"Female","35-49","SIDIAP",32327.5973759167,37925.1385814959
"COVID-19 infection",2360,416,2021-05-01,658363,23063.264490866,"Male","35-49","SIDIAP",20899.9656390414,25389.6698220853
"COVID-19 infection",1607,436,2021-05-01,423406,37585.6742700859,"Female","50-64","SIDIAP",34140.0316145689,41284.8399468952
"COVID-19 infection",1677,313,2021-05-01,467878,24417.6900816025,"Male","50-64","SIDIAP",21787.2375231366,27278.2181699437
"COVID-19 infection",701,231,2021-05-01,180881,46613.5193856735,"Female","65-79","SIDIAP",40795.7664031321,53028.1986840946
"COVID-19 infection",634,171,2021-05-01,170982,36503.8425097379,"Male","65-79","SIDIAP",31237.4748053306,42403.8766697392
"COVID-19 infection",5091,1052,2021-06-01,1194384,32148.7896689842,"Female","<=34","SIDIAP",30235.1983488342,34151.7491410819
"COVID-19 infection",5998,820,2021-06-01,1481739,20199.2388673039,"Male","<=34","SIDIAP",18840.1803708126,21630.4315350732
"COVID-19 infection",114,43,2021-06-01,24773,63355.2658135874,"Female",">=80","SIDIAP",45850.517543523,85339.1553168325
"COVID-19 infection",65,24,2021-06-01,14693,59620.2273191316,"Male",">=80","SIDIAP",38199.8168549523,88710.1726556987
"COVID-19 infection",2088,480,2021-06-01,498384,35153.6164884908,"Female","35-49","SIDIAP",32078.7138307349,38443.7415751573
"COVID-19 infection",2130,345,2021-06-01,531963,23671.7591261046,"Male","35-49","SIDIAP",21239.5009360719,26306.1979309958
"COVID-19 infection",979,253,2021-06-01,231375,39911.3992436521,"Female","50-64","SIDIAP",35144.5196933248,45144.4919446117
"COVID-19 infection",915,158,2021-06-01,230993,24966.1245145957,"Male","50-64","SIDIAP",21225.0010754653,29176.7576519256
"COVID-19 infection",330,94,2021-06-01,76967,44577.5462211077,"Female","65-79","SIDIAP",36023.1947136812,54551.6271443859
"COVID-19 infection",296,77,2021-06-01,71103,39527.164817237,"Male","65-79","SIDIAP",31194.2191857409,49402.159046904
"COVID-19 infection",25993,5812,2021-07-01,5628304,37691.2832000546,"Female","<=34","SIDIAP",36728.4347186453,38672.9847304358
"COVID-19 infection",28187,3906,2021-07-01,6527996,21839.6273527128,"Male","<=34","SIDIAP",21160.03841037,22535.4867090908
"COVID-19 infection",1596,525,2021-07-01,315059,60821.9412871875,"Female",">=80","SIDIAP",55729.8250898921,66254.2899918945
"COVID-19 infection",956,313,2021-07-01,192121,59465.1287469876,"Male",">=80","SIDIAP",53059.1091960281,66431.4580962878
"COVID-19 infection",13553,3182,2021-07-01,2896571,40096.7212611049,"Female","35-49","SIDIAP",38715.5157525474,41514.6162926891
"COVID-19 infection",12603,1905,2021-07-01,2874415,24190.139558832,"Male","35-49","SIDIAP",23115.9433252408,25301.3725505145
"COVID-19 infection",6852,1764,2021-07-01,1465179,43944.1187732011,"Female","50-64","SIDIAP",41917.1270598577,46043.7912031936
"COVID-19 infection",5515,1001,2021-07-01,1247045,29298.4615631352,"Male","50-64","SIDIAP",27511.3435065831,31171.1960605731
"COVID-19 infection",2918,807,2021-07-01,619756,47527.5753683708,"Female","65-79","SIDIAP",44304.5905987138,50923.0386914717
"COVID-19 infection",2476,578,2021-07-01,543975,38783.0323084701,"Male","65-79","SIDIAP",35685.3184708572,42077.669170504
"COVID-19 infection",4744,1145,2021-08-01,905123,46173.2825262423,"Female","<=34","SIDIAP",43537.2209129179,48927.2240906871
"COVID-19 infection",4387,576,2021-08-01,900751,23340.5236297268,"Male","<=34","SIDIAP",21473.0816563238,25326.8928229407
"COVID-19 infection",983,309,2021-08-01,172992,65196.6564927858,"Female",">=80","SIDIAP",58129.1882032289,72886.4648717082
"COVID-19 infection",543,160,2021-08-01,100387,58174.8632791098,"Male",">=80","SIDIAP",49509.9000852567,67920.0067974562
"COVID-19 infection",4242,1037,2021-08-01,805820,46971.4080067509,"Female","35-49","SIDIAP",44155.6924453658,49919.5942595849
"COVID-19 infection",3640,513,2021-08-01,746355,25087.9273268083,"Male","35-49","SIDIAP",22963.6399907855,27355.861060195
"COVID-19 infection",2673,686,2021-08-01,510170,49079.7185251975,"Female","50-64","SIDIAP",45475.2208325179,52893.9490809735
"COVID-19 infection",2269,423,2021-08-01,456965,33787.0515247338,"Male","50-64","SIDIAP",30643.5649985591,37165.4989596661
"COVID-19 infection",1547,422,2021-08-01,295505,52124.3295375713,"Female","65-79","SIDIAP",47269.173856369,57342.8325082424
"COVID-19 infection",1329,268,2021-08-01,266071,36764.6229765739,"Male","65-79","SIDIAP",32494.3573664086,41440.0709101528
"COVID-19 infection",1002,204,2021-09-01,171894,43317.3932772523,"Female","<=34","SIDIAP",37576.7669906172,49687.0066730424
"COVID-19 infection",875,112,2021-09-01,156579,26108.2265182432,"Male","<=34","SIDIAP",21497.4329409657,31414.9857712763
"COVID-19 infection",251,70,2021-09-01,40782,62650.1888087882,"Female",">=80","SIDIAP",48838.8935742166,79154.7445525767
"COVID-19 infection",186,45,2021-09-01,30475,53896.6365873667,"Male",">=80","SIDIAP",39312.5739537514,72117.9401966693
"COVID-19 infection",1225,243,2021-09-01,210350,42165.4385547896,"Female","35-49","SIDIAP",37030.1145451452,47813.7839620417
"COVID-19 infection",1106,133,2021-09-01,199627,24317.8527954635,"Male","35-49","SIDIAP",20360.8299204821,28819.4043721498
"COVID-19 infection",876,203,2021-09-01,148911,49757.9090866356,"Female","50-64","SIDIAP",43148.1167181082,57093.8065929666
"COVID-19 infection",770,109,2021-09-01,138264,28774.6629636059,"Male","50-64","SIDIAP",23626.992421373,34710.8115416967
"COVID-19 infection",487,100,2021-09-01,84200,43349.1686460808,"Female","65-79","SIDIAP",35270.6124105901,52724.2095532204
"COVID-19 infection",454,78,2021-09-01,79866,35647.209075201,"Male","65-79","SIDIAP",28177.6391878618,44489.3354632766
"COVID-19 infection",533,72,2021-10-01,80165,32782.3863281981,"Female","<=34","SIDIAP",25650.1982108074,41283.9935664696
"COVID-19 infection",449,47,2021-10-01,69139,24812.3345723832,"Male","<=34","SIDIAP",18231.1690449942,32995.1447953663
"COVID-19 infection",164,34,2021-10-01,24240,51196.3696369637,"Female",">=80","SIDIAP",35454.9736029671,71541.8086812379
"COVID-19 infection",119,23,2021-10-01,17476,48037.3083085374,"Male",">=80","SIDIAP",30451.5556102234,72079.5794583751
"COVID-19 infection",813,122,2021-10-01,122991,36205.9012448065,"Female","35-49","SIDIAP",30066.8126717129,43229.8950525912
"COVID-19 infection",807,82,2021-10-01,124608,24019.3246019517,"Male","35-49","SIDIAP",19103.2824998807,29814.3216207199
"COVID-19 infection",624,82,2021-10-01,93918,31868.2254732852,"Female","50-64","SIDIAP",25345.7465634398,39556.8792831476
"COVID-19 infection",636,85,2021-10-01,97489,31824.1032321595,"Male","50-64","SIDIAP",25419.9664623158,39350.9962452072
"COVID-19 infection",423,95,2021-10-01,61400,56473.9413680782,"Female","65-79","SIDIAP",45690.7895750735,69036.4665138163
"COVID-19 infection",384,49,2021-10-01,58498,30573.6948271736,"Male","65-79","SIDIAP",22618.5870105004,40420.0448791218
"COVID-19 infection",1443,190,2021-11-01,176679,39251.976748793,"Female","<=34","SIDIAP",33868.882576854,45247.5321980983
"COVID-19 infection",1122,81,2021-11-01,141455,20900.6397794352,"Male","<=34","SIDIAP",16598.12748018,25977.5869571189
"COVID-19 infection",360,46,2021-11-01,44322,37881.8645367989,"Female",">=80","SIDIAP",27734.2841075961,50529.0985819829
"COVID-19 infection",254,45,2021-11-01,30855,53232.8633932912,"Male",">=80","SIDIAP",38828.413263347,71229.7594391021
"COVID-19 infection",2770,291,2021-11-01,344427,30838.1747075578,"Female","35-49","SIDIAP",27396.4339797116,34592.6682757429
"COVID-19 infection",2422,178,2021-11-01,304291,21351.2723018426,"Male","35-49","SIDIAP",18329.7660464928,24728.6674323974
"COVID-19 infection",1809,211,2021-11-01,222982,34538.66231355,"Female","50-64","SIDIAP",30035.3005160202,39526.7208046887
"COVID-19 infection",1658,138,2021-11-01,207390,24287.5741356864,"Male","50-64","SIDIAP",20404.5386261099,28694.4896735431
"COVID-19 infection",1123,158,2021-11-01,136638,42206.4140283084,"Female","65-79","SIDIAP",35881.8679534606,49324.6884489765
"COVID-19 infection",1038,132,2021-11-01,127549,37773.7183356984,"Male","65-79","SIDIAP",31604.957688898,44794.8104943643
"First negative test",138483,42920,2020-09-01,40673640,38515.8544944588,"Both","Overall","SIDIAP",38152.3224798815,38881.9880622306
"First negative test",185564,55037,2020-10-01,55354031,36290.9523246825,"Both","Overall","SIDIAP",35988.3844155907,36595.4314683948
"First negative test",164528,49500,2020-11-01,49051180,36833.9762672376,"Both","Overall","SIDIAP",36510.1970319973,37159.9124999552
"First negative test",212065,59800,2020-12-01,64057579,34074.0320516952,"Both","Overall","SIDIAP",33801.4725628885,34348.2429977476
"First negative test",194247,50696,2021-01-01,58764136,31488.6617238787,"Both","Overall","SIDIAP",31215.1464523499,31763.9774297566
"First negative test",130921,34321,2021-02-01,38952250,32160.3116636395,"Both","Overall","SIDIAP",31820.9577022665,32502.3826712394
"First negative test",103235,27974,2021-03-01,30186241,33825.0463182879,"Both","Overall","SIDIAP",33429.8151236011,34223.7842699021
"First negative test",99185,24222,2021-04-01,28083912,31480.7637910274,"Both","Overall","SIDIAP",31085.5462799951,31879.7511397171
"First negative test",78369,18227,2021-05-01,20532059,32402.2787972702,"Both","Overall","SIDIAP",31933.5661829126,32876.1495322536
"First negative test",64745,12945,2021-06-01,15493478,30496.2191187802,"Both","Overall","SIDIAP",29973.1108366534,31026.166136133
"First negative test",96067,16923,2021-07-01,20797466,29700.2288644203,"Both","Overall","SIDIAP",29254.4179898022,30151.132505074
"First negative test",50437,9081,2021-08-01,9621324,34450.1962515762,"Both","Overall","SIDIAP",33745.2422438333,35166.1691881788
"First negative test",41715,6686,2021-09-01,7172372,34024.8665295107,"Both","Overall","SIDIAP",33214.1270415771,34850.3959461599
"First negative test",41567,5858,2021-10-01,6293724,33973.0499780416,"Both","Overall","SIDIAP",33108.578550931,34854.3808571373
"First negative test",42461,4506,2021-11-01,5370842,30622.5727735055,"Both","Overall","SIDIAP",29734.9101099789,31530.0038663882
"First negative test",20463,7000,2020-09-01,5775549,44238.2187390324,"Female","<=34","SIDIAP",43207.8906957236,45286.9119585111
"First negative test",17426,4014,2020-09-01,5360875,27329.6803227085,"Male","<=34","SIDIAP",26490.6857159768,28188.48614374
"First negative test",5069,2246,2020-09-01,1348180,60807.1622483645,"Female",">=80","SIDIAP",58318.1343025865,63375.1074677591
"First negative test",3507,1435,2020-09-01,952789,54972.8218944593,"Male",">=80","SIDIAP",52165.012817081,57892.495551791
"First negative test",22673,7421,2020-09-01,6541774,41405.6645796691,"Female","35-49","SIDIAP",40468.9045783635,42358.6368685721
"First negative test",18001,4104,2020-09-01,5625994,26625.6949438624,"Male","35-49","SIDIAP",25817.2553092465,27453.0110926552
"First negative test",16790,5744,2020-09-01,4836704,43346.8742350162,"Female","50-64","SIDIAP",42233.056975357,44482.6307709495
"First negative test",13593,3504,2020-09-01,4169590,30673.5194587477,"Male","50-64","SIDIAP",29666.2196877302,31706.300212919
"First negative test",11394,4425,2020-09-01,3217849,50192.6908316705,"Female","65-79","SIDIAP",48724.5866955862,51693.7915348381
"First negative test",9567,3027,2020-09-01,2844336,38844.0395227568,"Male","65-79","SIDIAP",37472.4561008103,40252.992079039
"First negative test",28931,9465,2020-10-01,8283470,41706.253538674,"Female","<=34","SIDIAP",40870.222619602,42555.082237634
"First negative test",26481,5813,2020-10-01,8171167,25966.242031279,"Male","<=34","SIDIAP",25302.9740869598,26642.4959600302
"First negative test",5790,2549,2020-10-01,1568792,59305.8225692125,"Female",">=80","SIDIAP",57025.6453805928,61653.7899034512
"First negative test",4014,1634,2020-10-01,1107574,53848.3207442573,"Male",">=80","SIDIAP",51268.7488897522,56524.0704963127
"First negative test",29311,9359,2020-10-01,8614990,39652.2224634039,"Female","35-49","SIDIAP",38852.9000696214,40463.8503129515
"First negative test",23669,5142,2020-10-01,7475619,25106.0146323669,"Male","35-49","SIDIAP",24424.4363642818,25801.7910420095
"First negative test",23052,7618,2020-10-01,6759932,41133.1060726646,"Female","50-64","SIDIAP",40214.5558872838,42067.3444258438
"First negative test",18675,4605,2020-10-01,5829303,28834.0647243761,"Male","50-64","SIDIAP",28007.2139494306,29679.1282053713
"First negative test",13985,5243,2020-10-01,4034720,47430.6767260182,"Female","65-79","SIDIAP",46155.407021542,48732.251888044
"First negative test",11656,3609,2020-10-01,3508464,37545.9175297224,"Male","65-79","SIDIAP",36330.8534663438,38791.2615363428
"First negative test",20291,6693,2020-11-01,5790849,42186.3011796716,"Female","<=34","SIDIAP",41181.6148914623,43209.3057907834
"First negative test",18407,4118,2020-11-01,5649145,26607.0352239144,"Male","<=34","SIDIAP",25800.5261006351,27432.3433310047
"First negative test",5870,2601,2020-11-01,1593833,59564.8979535497,"Female",">=80","SIDIAP",57297.5463654782,61898.9701879935
"First negative test",4143,1636,2020-11-01,1152894,51794.8744637408,"Male",">=80","SIDIAP",49315.1703180961,54366.9753422326
"First negative test",25021,7920,2020-11-01,7349715,39332.1373685918,"Female","35-49","SIDIAP",38470.6209949711,40208.0818879156
"First negative test",21155,4724,2020-11-01,6648057,25936.2998843121,"Male","35-49","SIDIAP",25201.9063492567,26686.6621375296
"First negative test",22012,7372,2020-11-01,6448553,41726.8804334864,"Female","50-64","SIDIAP",40779.738826915,42690.468843186
"First negative test",18583,4496,2020-11-01,5816892,28211.6291655406,"Male","50-64","SIDIAP",27392.9506989148,29048.5602836494
"First negative test",15929,5928,2020-11-01,4627102,46761.8824914601,"Female","65-79","SIDIAP",45578.990473224,47967.7059053248
"First negative test",13117,4012,2020-11-01,3974140,36847.7205131173,"Male","65-79","SIDIAP",35716.2515929038,38005.9136012433
"First negative test",23046,6985,2020-12-01,6637249,38412.3753681684,"Female","<=34","SIDIAP",37516.779361454,39323.9523079997
"First negative test",20367,4040,2020-12-01,6285025,23462.1182891078,"Male","<=34","SIDIAP",22744.1576091826,24196.9768516257
"First negative test",7029,3084,2020-12-01,1924402,58494.0152837089,"Female",">=80","SIDIAP",56447.5977804795,60595.6629366886
"First negative test",4932,1901,2020-12-01,1398431,49617.3926350317,"Male",">=80","SIDIAP",47411.7737763008,51899.1395751263
"First negative test",31802,9401,2020-12-01,9458277,36278.964974276,"Female","35-49","SIDIAP",35549.2690390739,37019.869152798
"First negative test",28313,5633,2020-12-01,9039990,22743.8857786347,"Male","35-49","SIDIAP",22153.7787543614,23345.7314705092
"First negative test",30280,9391,2020-12-01,9049518,37877.3212009745,"Female","50-64","SIDIAP",37115.0732969213,38651.2836319861
"First negative test",24831,5753,2020-12-01,7835571,26798.8765592195,"Male","50-64","SIDIAP",26110.8028398154,27500.4927962309
